,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
212,,Bioenergy,Bioenergy,,DE,9.53383999999999,,0,2010,,47.7217512438889,9.86388734127202,,,3479
213,,onwind,onwind,,DE,9.24,,0,2002,,43.0179275,9.27808425,,,3479
214,,solar,solar,,DE,182.87213612,,0,2010,,47.6967934561892,9.86650062900062,,,3479
215,,Bioenergy,Bioenergy,,DE,1.088,,0,2005,,48.5976449857143,9.19325851428571,,,3480
216,,Hydro,Run-Of-River,,DE,1.21737,,0,2000,,48.5647139294118,9.28186657676919,,,3480
217,,OCGT,OCGT,,DE,1.281,,0,1512,,48.63679805,9.1315465971387,,,3480
218,,Oil,Oil,,DE,0.02791,,0,1608,,48.61020425,9.26909759317111,,,3480
219,,solar,solar,,DE,61.3032155999999,,0,2010,,48.5705708456529,9.27800023654643,,,3480
220,,Bioenergy,Bioenergy,,DE,8.20988,,0,1998,,48.40873895,9.21029363404699,,,3481
221,,onwind,onwind,,DE,4.0334784,,0,1996,,48.3799530142857,9.17879328571429,,,3481
222,,solar,solar,,DE,126.97709268,,0,2011,,48.4256846471469,9.18493282032008,,,3481
223,,Bioenergy,Bioenergy,,DE,6.23808,,0,2006,,48.8571019071428,9.12543955050002,,,3482
224,,Hydro,Run-Of-River,,DE,1.775103,,0,1917,,48.9039594378596,9.08906960951387,,,3482
225,,OCGT,OCGT,,DE,37.432858,,0,1011,,48.8247061560542,9.13407698345526,,,3482
226,,onwind,onwind,,DE,0.572992,,0,2012,,48.849677125,9.1435414,,,3482
227,,solar,solar,,DE,74.3124967600001,,0,2012,,48.8673252322833,9.12125620331577,,,3482
228,,Bioenergy,Bioenergy,,DE,0.8762,,0,2004,,48.8009821,9.38451742,,,3484
229,,Hard Coal,Hard Coal,,DE,769,,0,1011,,48.72783785,9.38101584878804,,,3484
230,,OCGT,OCGT,,DE,254.08556,,0,1011,,48.7542647258621,9.33793725640289,,,3484
231,,solar,solar,,DE,62.4300647200001,,0,2007,,48.7845831775704,9.37946845794406,,,3484
232,,Bioenergy,Bioenergy,,DE,7.2704,,0,2005,,48.3638257741071,9.58798549431562,,,3485
233,,Hydro,Run-Of-River,,DE,0.82203,,0,2001,,48.336928856,9.53898063621204,,,3485
234,,OCGT,OCGT,,DE,0.0015,,0,1107,,48.4896773,9.6861474,,,3485
235,,onwind,onwind,,DE,9.7216,,0,2012,,48.45032433,9.74503547064714,,,3485
236,,solar,solar,,DE,121.35875756,,0,2012,,48.3617313465811,9.63962064017658,,,3485
237,,Bioenergy,Bioenergy,,DE,10.8212,,0,2012,,48.6524685943182,9.66501376193974,,,3486
238,,Hydro,Run-Of-River,,DE,2.1739839,,0,1916,,48.6356080305085,9.61050110673195,,,3486
239,,OCGT,OCGT,,DE,0.64639,,0,1701,,48.7168584039474,9.61429024230806,,,3486
240,,Oil,Oil,,DE,0.01666,,0,1910,,48.798272825,9.63729821143092,,,3486
241,,onwind,onwind,,DE,10.696,,0,2001,,48.5513885857143,9.66229821428571,,,3486
242,,solar,solar,,DE,159.442368239999,,0,2009,,48.7010676234986,9.63255845889761,,,3486
243,,Bioenergy,Bioenergy,,DE,3.0468,,0,2011,,48.9724532428571,9.42102794703495,,,3487
244,,Hydro,Run-Of-River,,DE,2.960232,,0,2006,,48.966832540625,9.41840238640477,,,3487
245,,OCGT,OCGT,,DE,1.15498,,0,1611,,48.945297012059,9.37135099464172,,,3487
246,,Oil,Oil,,DE,425.9,,0,1011,,48.93282995,9.26020485132171,,,3487
247,,solar,solar,,DE,81.7177533999999,,0,2012,,48.9794423722886,9.39218177046898,,,3487
248,,Bioenergy,Bioenergy,,DE,23.11732,,0,2011,,47.825238197191,10.3907892511034,,,3490
249,,Hydro,Run-Of-River,,DE,43.1566245,,0,2011,,47.7349917011678,10.3876264881222,,,3490
250,,OCGT,OCGT,,DE,0.99071,,0,2011,,47.6887079299835,10.348659167224,,,3490
251,,Oil,Oil,,DE,57.536,,0,1011,,47.7777806714286,10.3767915768538,,,3490
252,,onwind,onwind,,DE,11.6265744,,0,2011,,47.80603345,10.20008991,,,3490
253,,solar,solar,,DE,512.474483440003,,0,2011,,47.7966534165747,10.3940784968686,,,3490
254,,Bioenergy,Bioenergy,,DE,23.05412,,0,2011,,48.6998373090091,10.4750533808253,,,3492
255,,Hydro,Run-Of-River,,DE,8.055795,,0,2000,,48.5217314512981,10.4560220848251,,,3492
256,,Nuclear,Nuclear,,DE,1288,,0,1011,,48.50419075,10.4090922853843,,,3492
257,,onwind,onwind,,DE,0.004032,,0,2012,,48.590425,10.4242169,,,3492
258,,solar,solar,,DE,276.31149268,,0,2010,,48.6188367070078,10.4651575339128,,,3492
259,,Bioenergy,Bioenergy,,DE,8.28732,,0,2000,,48.442598021875,10.1537305415826,,,3493
260,,Hydro,Run-Of-River,,DE,2.6433,,0,1942,,48.38299365,10.2446691731335,,,3493
261,,OCGT,OCGT,,DE,0.54505,,0,1312,,48.4471095875,10.0952536876035,,,3493
262,,onwind,onwind,,DE,11.2,,0,2012,,48.5334562,10.00806498,,,3493
263,,solar,solar,,DE,191.08976564,,0,2011,,48.4505356550817,10.1139895583321,,,3493
264,,Bioenergy,Bioenergy,,DE,17.30332,,0,1998,,48.1116600917431,10.1099168487067,,,3494
265,,onwind,onwind,,DE,0.0896,,0,2005,,48.03949055,9.94997458190798,,,3494
266,,solar,solar,,DE,299.373979999999,,0,2009,,48.1357704926967,10.1470344001635,,,3494
267,,Hydro,Run-Of-River,,DE,17.666781,,0,2012,,48.1284861984849,10.1429639046575,,,3495
268,,OCGT,OCGT,,DE,0.72745,,0,1201,,48.1911297583333,10.0364119459141,,,3495
269,,Bioenergy,Bioenergy,,DE,37.3204,,0,2010,,49.0240189333333,10.1555136366709,,,3496
270,,Hydro,Run-Of-River,,DE,0.8426253,,0,2000,,49.0511187080882,10.06866716416,,,3496
271,,OCGT,OCGT,,DE,0.7017,,0,1092,,48.9784694416667,10.1493911662134,,,3496
272,,Oil,Oil,,DE,0.398,,0,2009,,48.835132975,10.0640400304866,,,3496
273,,onwind,onwind,,DE,70.406,,0,2012,,48.9450503033333,10.1405231074463,,,3496
274,,solar,solar,,DE,384.084146560005,,0,2011,,48.9984786582539,10.119073309885,,,3496
